Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality(1>rho>0),Internationality(0.1>rho>0.001),Internationality(0.9>rho>0.101),Internationality(0.99>rho>0.9),Internationality(rho>1)
AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.38888888899999996,0.3797000835183588,0.000934980130709584,0.3797000835183588,0.37970014863760526,0.3797983034882843,0.38053065661745916,0.0
Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,0.7592240237636326,0.0006020426579960159,0.7592240237636326,0.759224413180837,0.7592956643297324,0.7598436833568266,0.0
Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.01,0.7142857140000001,0.46618163277600805,0.00019770905157723284,0.46618163277600805,0.46650608017299566,0.5019269940407121,0.6370594075741706,0.0
Alexandria University,5,2.0,46,3,0.5833333333,0.9347826090000001,0.8917265805676818,0.00010844059440762166,0.8917265805676818,0.8917376226596696,0.892616026926502,0.8989321004025647,0.0
Amity University,3,0.0,3,1,0.01,0.666666667,0.4380760829513201,9.190586625540398e-05,0.4380760829513201,0.43839818793262497,0.47068429082441327,0.5946892434390341,0.0
Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.01,0.9,0.5740461707488103,0.0003250196622128776,0.5740461707488103,0.5744011471620094,0.6228752712326314,0.8023064980503585,0.0
Ankara University,3,2.0,12,2,0.284375,0.833333333,0.7484372692190198,0.00130128215935299,0.7484372692190198,0.7484297336427281,0.7522180078797065,0.7761277534550136,0.0
Aoyama Gakuin University,15,0.0,29,6,0.01,0.793103448,0.512531806230199,0.0008675845061578702,0.512531806230199,0.5126650448255918,0.5535797674786825,0.7071941384480263,0.0
Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,0.6268016076338773,0.0007788214578918762,0.6268016076338773,0.6268034549864842,0.6276032136416402,0.6332423045736899,0.0
Auburn University,7,1.0,52,7,1.0,0.865384615,0.877987764405216,0.0005157177458205986,0.877987764405216,0.8779882146577636,0.8780713007714614,0.878757267418861,0.9981028836893018
Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,0.8710481804873327,4.417361869868408e-05,0.8710481804873327,0.8710632929315287,0.8726078870597882,0.8832833418258149,0.0
Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,0.7482216725960897,0.0004939290406622554,0.7482216725960897,0.7482377426567293,0.7511071078007414,0.7697171786635743,0.0
Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,0.6274875968890519,3.9466579530689216e-05,0.6274875968890519,0.6275129146242361,0.6299170269703548,0.6455234549838483,0.0
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,0.8474298571805671,3.896670625780363e-05,0.8474298571805671,0.8474699921967411,0.8515195772294256,0.876859879944062,0.0
Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,0.7342426942662004,0.0008151296923207818,0.7342426942662004,0.7342456729109309,0.7356232698448303,0.7450953777369422,0.0
Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,0.6387855182554437,0.0005156195274622632,0.6387855182554437,0.6387895992665723,0.6396098006978547,0.6453680746238022,0.0
Cornell University,121,0.0,3530,1378,0.01,0.609631728,0.4044114200566603,0.0007960592175184633,0.4044114200566603,0.4044881111194152,0.4331036514511329,0.5439404972318286,0.0
Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.01,0.9107142859999999,0.5801658994195127,0.00027224559009741967,0.5801658994195127,0.5805525127694199,0.6297033294053658,0.8118310036180728,0.0
Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,0.8494075055587711,0.0008777824814703017,0.8494075055587711,0.8494075060472351,0.8494078940360055,0.8494110012294103,0.0
Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,0.5453686064606443,0.00041684515435580494,0.5453686064606443,0.5453693403397883,0.5454935634770588,0.5465297309490501,0.0
Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.01,0.913043478,0.5817562524357909,0.0007508232653694602,0.5817562524357909,0.5818921621584039,0.6311771447916316,0.8139032586741265,0.0
Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.30305555559999997,0.828571429,0.7493140004593792,0.00074186416576838,0.7493140004593792,0.7493253179322112,0.7526652906939895,0.7739288059154679,0.0
Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,0.7685302275235976,0.0001810149791262594,0.7685302275235976,0.768540592752076,0.7696281753578964,0.7771857248172492,0.0
Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,0.8052668491537118,0.00039659820938386936,0.8052668491537118,0.805271043274995,0.8058711173952064,0.810234955868223,0.0
Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,0.6715339779238825,0.00015431542100730056,0.6715339779238825,0.6715417645617878,0.6724120961854679,0.6785251219629386,0.0
Johns Hopkins University,130,0.0,3047,1185,0.01,0.611092878,0.40507849035251303,0.00012914294678001426,0.40507849035251303,0.4053551922855198,0.433948193957342,0.5452413189028497,0.0
Manipal University,5,2.0,39,15,0.5,0.615384615,0.6027400693021945,0.0012964544649398668,0.6027400693021945,0.6027399105724636,0.6028564707598194,0.6037410319554658,0.0
McGill University,103,0.0,1634,215,0.01,0.8684210529999999,0.5560461983134087,0.0006515775229143372,0.5560461983134087,0.55626279167391,0.6023359638864091,0.7742047603033971,0.0
National Institute of Technology Karnataka,2,0.0,13,8,0.01,0.384615385,0.2672025588744312,0.0012177536249620147,0.2672025588744312,0.2671832937871491,0.2821133891472385,0.3437116127592335,0.0
North Carolina State University,31,2.0,279,105,0.3333333333,0.623655914,0.5857925193639447,0.0007049808548287295,0.5857925193639447,0.5857959746885453,0.5868151569083141,0.5938651886302535,0.0
PES University,2,0.0,9,2,0.01,0.7777777779999999,0.503435063150539,0.00046853982494199364,0.503435063150539,0.503663779261522,0.5433962579240772,0.6935619665142573,0.0
RWTH Aachen University,59,17.0,496,99,0.3149739051,0.8004032259999999,0.7291709465503172,0.0014095117313825956,0.7291709465503172,0.7291598186181737,0.7319659206403225,0.7500498522419019,0.0
Simon Fraser University,66,15.0,593,97,0.4620833333,0.8364249579999999,0.7882423171746455,0.0004986468397252253,0.7882423171746455,0.7882493446877481,0.7894814900329771,0.7980609135928726,0.0
Sogang University,19,10.0,163,34,0.3388518519,0.791411043,0.727055982135239,0.0003534924342822876,0.727055982135239,0.7270743107389958,0.729380035181296,0.7446013561940478,0.0
State University of New York (SUNY) Binghamton,13,2.0,120,28,0.5,0.7666666670000001,0.734595695251948,0.001528046318956644,0.734595695251948,0.7345926593510611,0.7351946678229753,0.7395122187576068,0.0
University of British Columbia,85,26.0,1642,147,0.37597756409999994,0.91047503,0.833436230743531,0.0009779849819464559,0.833436230743531,0.8334407806360009,0.8363231728434377,0.8551218939489664,0.0
University of Edinburgh,83,34.0,860,51,0.28075664699999997,0.940697674,0.8336289579387676,0.0012157973535691646,0.8336289579387676,0.833625312042218,0.8389565781139653,0.8716409944845654,0.0
University of Guelph,45,23.0,232,33,0.29820048309999997,0.8577586209999999,0.7717881970053475,0.0008580872291537034,0.7717881970053475,0.7717954822694019,0.7755739968212958,0.7994810300007796,0.0
University of Michigan,218,0.0,3916,1290,0.01,0.670582227,0.44039120000776977,9.200058643044073e-05,0.44039120000776977,0.4407186169289149,0.4732081781871386,0.59817997223489,0.0
University of Montreal,56,10.0,771,126,0.1831309524,0.836575875,0.7186810004394293,0.00011498464522952112,0.7186810004394293,0.7187484322051281,0.7259615070725312,0.7676028238021373,0.0
University of Ottawa,39,8.0,291,53,0.6775,0.817869416,0.802613824348947,0.00019412982061350892,0.802613824348947,0.802614866519588,0.8027425417948064,0.8037160080113039,0.0
University of Pennsylvania,222,0.0,8241,3017,0.01,0.633903652,0.41866687657348783,0.00014171006349039672,0.41866687657348783,0.4189586746499278,0.44908750570036043,0.5655378828951324,0.0
University of Salford,24,7.0,416,53,0.3088253158,0.872596154,0.7865726879958618,0.0016895680886470643,0.7865726879958618,0.7865468087412987,0.7902828095213241,0.8139137528331921,0.0
University of Southern California,173,0.0,6126,1906,0.01,0.688867124,0.45170405165372574,0.0015224197720999921,0.45170405165372574,0.45152039801326244,0.4851819112022201,0.6144418650204626,0.0
University of Southern Queensland,2,1.0,11,1,0.75,0.9090909090000001,0.8917699357687842,0.0001621020103472759,0.8917699357687842,0.8917711911819549,0.8919189765966263,0.8930470611701786,0.0
University of Tokyo,390,0.0,4303,1048,0.01,0.756448989,0.4908163586563269,4.7431672299591554e-05,0.4908163586563269,0.4912208487637225,0.5295142515587392,0.6745762330033503,0.0
University of Toronto,200,0.0,2002,301,0.01,0.84965035,0.5450554273092537,0.00032282456824594963,0.5450554273092537,0.5454586100238834,0.590220557240985,0.7575054599207108,0.0
University of Waterloo,91,31.0,1272,151,0.5167769061,0.8812893079999999,0.8354895637984621,0.0007307661387052633,0.8354895637984621,0.8354927559545359,0.8365500352038047,0.8440170420675293,0.0
Yale University,84,19.0,1581,501,0.521301468,0.683111954,0.6648958909555784,0.0014407836665176754,0.6648958909555784,0.6648950668940312,0.6651165457283171,0.6667402407561933,0.0
Yonsei University,41,5.0,250,66,0.24333333329999998,0.736,0.6588975863745884,0.00032263185985792475,0.6588975863745884,0.6589231339602123,0.662469503174745,0.6846094654283328,0.0
